epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,25.4461,0.80962,1.21161,1.04354,0.918,0.5,0.70214,0.46716,1.17011,2.01843,1.59972,0.00039605,0.00039605,0.00039605
44,26.0091,0.9845,1.33294,1.0534,0.85457,0.5,0.71722,0.4806,1.22676,2.06045,1.65563,0.000393575,0.000393575,0.000393575
45,26.5749,0.92577,1.23938,1.04331,0.85457,0.5,0.71722,0.4806,1.22676,2.06045,1.65563,0.0003911,0.0003911,0.0003911
46,27.1171,0.97388,1.58433,1.14654,0.85457,0.5,0.71722,0.4806,1.22676,2.06045,1.65563,0.000388625,0.000388625,0.000388625
47,27.6597,0.84708,1.21249,0.99474,0.85457,0.5,0.71722,0.4806,1.22676,2.06045,1.65563,0.00038615,0.00038615,0.00038615
48,28.2294,0.96792,1.38651,1.11103,0.9325,0.75,0.87,0.47295,1.34486,2.08131,1.79381,0.000383675,0.000383675,0.000383675
49,28.7804,1.05693,1.27676,1.21147,0.9325,0.75,0.87,0.47295,1.34486,2.08131,1.79381,0.0003812,0.0003812,0.0003812
50,29.3921,0.93007,1.27307,1.08887,0.9325,0.75,0.87,0.47295,1.34486,2.08131,1.79381,0.000378725,0.000378725,0.000378725
51,29.937,1.17338,1.75894,1.30993,0.9325,0.75,0.87,0.47295,1.34486,2.08131,1.79381,0.00037625,0.00037625,0.00037625
52,30.4732,0.74366,1.22417,1.01089,0.9325,0.75,0.87,0.47295,1.34486,2.08131,1.79381,0.000373775,0.000373775,0.000373775
53,31.0116,0.71777,1.1691,0.95416,0.89454,0.75,0.87,0.48716,1.30819,1.9328,1.7541,0.0003713,0.0003713,0.0003713
54,31.5617,0.99529,1.24878,1.14971,0.89454,0.75,0.87,0.48716,1.30819,1.9328,1.7541,0.000368825,0.000368825,0.000368825
55,32.0934,0.87511,1.17232,1.10441,0.89454,0.75,0.87,0.48716,1.30819,1.9328,1.7541,0.00036635,0.00036635,0.00036635
56,32.6255,0.81431,1.33664,1.00516,0.89454,0.75,0.87,0.48716,1.30819,1.9328,1.7541,0.000363875,0.000363875,0.000363875
57,33.168,0.92465,1.35606,1.12686,0.90571,0.75,0.87,0.54015,1.18431,1.65681,1.57378,0.0003614,0.0003614,0.0003614
58,33.7068,0.75275,1.09662,1.03733,0.90571,0.75,0.87,0.54015,1.18431,1.65681,1.57378,0.000358925,0.000358925,0.000358925
59,34.3255,0.82559,1.12427,0.99808,0.90571,0.75,0.87,0.54015,1.18431,1.65681,1.57378,0.00035645,0.00035645,0.00035645
60,34.8575,0.97349,1.27448,1.00974,0.90571,0.75,0.87,0.54015,1.18431,1.65681,1.57378,0.000353975,0.000353975,0.000353975
61,35.3946,0.79599,1.02919,0.99042,0.90571,0.75,0.87,0.54015,1.18431,1.65681,1.57378,0.0003515,0.0003515,0.0003515
62,35.9436,0.97959,1.31803,1.11472,0.93146,0.75,0.91167,0.59962,1.09458,1.5501,1.40972,0.000349025,0.000349025,0.000349025
63,36.4745,0.96351,1.12125,1.03554,0.93146,0.75,0.91167,0.59962,1.09458,1.5501,1.40972,0.00034655,0.00034655,0.00034655
64,37.0125,0.93353,1.26149,1.1241,0.93146,0.75,0.91167,0.59962,1.09458,1.5501,1.40972,0.000344075,0.000344075,0.000344075
65,37.5521,0.84207,1.20199,1.05496,0.93146,0.75,0.91167,0.59962,1.09458,1.5501,1.40972,0.0003416,0.0003416,0.0003416
66,38.0849,0.80551,1.04126,0.95595,0.93146,0.75,0.91167,0.59962,1.09458,1.5501,1.40972,0.000339125,0.000339125,0.000339125
